,mc_new
bic_l,0.4203335240475676
bic_b_1,0.4203335240475676
bic_b_2,0.4203335240475676
brachialis_1,0.12233676403105699
brachialis_2,0.14299613023541224
brachialis_3,0.15473170614382425
brachialis_4,0.16494320995240233
brachialis_5,0.16670502354326086
brachialis_6,0.1905573813900518
brachialis_7,0.1600756691210461
brachiorad_1,0.1802272266788125
brachiorad_2,0.14645118840932367
brachiorad_3,0.17231788866020853
tric_long_1,0
tric_long_2,0
tric_long_3,0
tric_long_4,0
tric_med_1,0
tric_med_2,0
tric_med_3,0
tric_med_4,0
tric_med_5,0
tric_lat_1,0
tric_lat_2,0
tric_lat_3,0
tric_lat_4,0
tric_lat_5,0
anconeus_1,0
anconeus_2,0
anconeus_3,0
anconeus_4,0
anconeus_5,0
delt_clav_1,0.14878011790181986
delt_clav_2,0.14878011790181986
delt_clav_3,0.14878011790181986
delt_clav_4,0.14878011790181986
coracobr_1,0.14878011790181986
coracobr_2,0.14878011790181986
coracobr_3,0.14878011790181986
lat_dorsi_1,0.14878011790181986
lat_dorsi_2,0.14878011790181986
lat_dorsi_3,0.14878011790181986
lat_dorsi_4,0.14878011790181986
lat_dorsi_5,0.14878011790181986
lat_dorsi_6,0.14878011790181986
supra_1,0.14878011790181986
supra_2,0.14878011790181986
supra_3,0.14878011790181986
supra_4,0.14878011790181986
pect_maj_t_1,0.14878011790181986
pect_maj_t_2,0.14878011790181986
pect_maj_t_3,0.14878011790181986
pect_maj_t_4,0.14878011790181986
pect_maj_t_5,0.14878011790181986
pect_maj_t_6,0.14878011790181986
pect_maj_c_1,0.14878011790181986
pect_maj_c_2,0.14878011790181986
subscap_1,0.14878011790181986
subscap_2,0.14878011790181986
subscap_3,0.14878011790181986
subscap_4,0.14878011790181986
subscap_5,0.14878011790181986
subscap_6,0.14878011790181986
subscap_7,0.14878011790181986
subscap_8,0.14878011790181986
subscap_9,0.14878011790181986
subscap10,0.14878011790181986
subscap11,0.14878011790181986
infra_1,0.14878011790181986
infra_2,0.14878011790181986
infra_3,0.14878011790181986
infra_4,0.14878011790181986
infra_5,0.14878011790181986
infra_6,0.14878011790181986
delt_scap_1,0.14878011790181986
delt_scap_2,0.14878011790181986
delt_scap_3,0.14878011790181986
delt_scap_4,0.14878011790181986
delt_scap_5,0.14878011790181986
delt_scap_6,0.14878011790181986
delt_scap_7,0.14878011790181986
delt_scap_8,0.14878011790181986
delt_scap_9,0.14878011790181986
delt_scap10,0.14878011790181986
delt_scap11,0.14878011790181986
trap_clav_1,0.14878011790181986
trap_clav_2,0.14878011790181986
lev_scap_1,0.14878011790181986
lev_scap_2,0.14878011790181986
pect_min_1,0.14878011790181986
pect_min_2,0.14878011790181986
pect_min_3,0.14878011790181986
pect_min_4,0.14878011790181986
trap_scap_1,0.14878011790181986
trap_scap_2,0.14878011790181986
trap_scap_3,0.14878011790181986
trap_scap_4,0.14878011790181986
trap_scap_5,0.14878011790181986
trap_scap_6,0.14878011790181986
trap_scap_7,0.14878011790181986
trap_scap_8,0.14878011790181986
trap_scap_9,0.14878011790181986
trap_scap10,0.14878011790181986
trap_scap11,0.14878011790181986
rhomboid_1,0.14878011790181986
rhomboid_2,0.14878011790181986
rhomboid_3,0.14878011790181986
rhomboid_4,0.14878011790181986
rhomboid_5,0.14878011790181986
serr_ant_1,0.14878011790181986
serr_ant_2,0.14878011790181986
serr_ant_3,0.14878011790181986
serr_ant_4,0.14878011790181986
serr_ant_5,0.14878011790181986
serr_ant_6,0.14878011790181986
serr_ant_7,0.14878011790181986
serr_ant_8,0.14878011790181986
serr_ant_9,0.14878011790181986
serr_ant10,0.14878011790181986
serr_ant11,0.14878011790181986
serr_ant12,0.14878011790181986
